,5UTRlen,3UTRlen,CDSlen,mRNA_DW,Eff_DW,hl_RS,syn_RS,pro,tAI,TR,startWin_1_MEE,startWin_end_MEE,stopWin_1_MEE,stopWin_end_MEE,uORF,GC3,CDSminMFE,CDSmeanMFE,pAlen2
YBR281C,3.7377,4.5218,7.8774,3.8182,-0.37134,2.2083,-1.7958,3.964,0.4,-2.5257,-10.4,0,0.2,-4.7,-1.6094,-0.63928,-14.8,-7.9756,31.6
YML106W,5.5334,4.9972,6.5236,6.3408,-0.15029,2.9601,-0.59784,6.7036,0.45,-1.0079,-4.7,-7.4,-4.6,-12.7,1.4351,-0.48457,-14.9,-8.6676,27.9
YLR150W,3.2581,5.425,6.7117,7.9142,0.49533,3.5115,0.79706,8.4486,0.65,-0.27945,-2.4,-2.4,-5.6,-4.2,0.18232,-0.38905,-14.2,-8.9077,28.4
YEL046C,2.6391,6.3733,7.0596,6.0977,0.26355,1.8083,1.2556,8.776,0.47,0.18382,0,0,-12.7,-6.3,-1.6094,-0.35082,-25.6,-12.408,40.5
YER040W,4.4067,5.5645,7.693,3.1583,-0.60338,1.4586,-1.0079,4.9535,0.33,-2.6736,0.4,-7.1,-4.5,-4.3,-1.6094,-0.51929,-16.6,-6.8083,29.6
YPR019W,4.2627,4.4886,7.9381,4.1878,-0.52735,2.0281,-0.9213,5.1358,0.4,-2.3056,-2.3,-7.8,-5.4,-7.7,-1.6094,-0.61453,-18.7,-7.55,27.9
YML073C,2.7726,4.3438,6.2748,8.0396,0.36613,4.3932,0.70951,7.7202,0.63,-0.65585,-0.7,-0.7,-6.6,-1.7,-1.6094,-0.4631,-16.1,-10.475,26.1
YER031C,3.4965,4.9972,6.5103,5.1276,0.46965,2.8449,-0.97286,5.9117,0.39,-2.0503,-8.4,-8.4,-16.7,8.2,-1.6094,-0.4971,-16.5,-9.2429,34.7
YJR006W,2.0794,4.3175,7.2889,3.6533,-0.47312,2.3321,-1.666,4.2047,0.39,-2.6297,-11.2,-11.2,-6.7,-5.3,-1.6094,-0.54465,-14.6,-7.7532,37
YJL117W,3.912,4.9488,6.8416,5.6363,-0.043737,2.5257,-1.0556,6.2989,0.4,-1.4507,-4,-10,-5.4,-4.3,-1.6094,-0.48625,-18.3,-8.2167,34.1
YMR047C,4.3041,4.382,8.1143,4.4022,-0.40235,2.0669,-0.73397,4.0489,0.38,-1.4819,-4,-6.9,-3.3,-4.3,-1.6094,-0.62354,-24.4,-9.06,30.9
YML055W,2.3979,3.7377,6.286,4.4734,0.040251,5.1795,-2.7489,5.8245,0.4,-2.3518,-6.4,-6.4,-0.6,-2.4,0.78846,-0.56469,-17.1,-8.0875,28.6
YML088W,3.0445,4.3944,7.6044,3.7305,-0.7606,2.0412,-1.474,3.8607,0.35,-1.9604,-14.5,-14.5,-8.2,-5.8,-1.6094,-0.53655,-19.7,-8.1923,48.3
YLR268W,3.6636,4.654,6.4693,4.8012,0.14987,2.451,-1.2208,4.3567,0.39,-2.5783,-3.4,-2.1,-5.3,-6.9,-1.6094,-0.38321,-14.6,-8.095,32.6
YNL103W,5.0173,4.382,7.6104,3.8766,-0.57781,1.7918,-0.70928,4.3944,0.35,-1.4246,-2,-7.4,-5,-5.8,-1.6094,-0.49082,-17.5,-7.0076,33
YIL044C,3.2189,5.1417,6.7991,4.4136,-0.085021,2.6319,-1.2801,4.987,0.36,-2.5575,-4.3,-4.3,-4.4,-3.3,-1.6094,-0.56815,-17.1,-7.4,33.3
YIR004W,2.3979,4.7449,7.1694,4.2687,-0.13579,2.1518,-1.1026,5.3768,0.42,-1.5813,-7.8,-7.8,-3.9,4.1,-1.6094,-0.62105,-19.5,-7.7405,33.3
YLR348C,3.3673,4.2195,6.7991,5.1344,-0.46884,2.451,-1.3548,3.9512,0.38,-1.4267,-1.8,-1.8,-2.4,-2.2,-1.6094,-0.26495,-23.1,-13.325,30
YBR248C,4.4659,4.3567,7.414,4.3938,0.2858,2.5177,-0.51584,7.6866,0.41,-1.4894,-5.6,-5.9,-5.3,1.6,-1.6094,-0.58746,-18.8,-9.4407,2.7
YNR067C,3.8067,4.3307,8.1179,5.2513,-0.2682,1.775,-0.32158,3.9318,0.38,-0.60991,2.8,-7.2,-5.7,-0.9,-1.6094,-0.67382,-19.6,-7.2681,33.9
YNL152W,2.5649,4.4308,7.1148,3.4735,-0.38612,1.9741,-1.2553,4.2767,0.35,-1.8747,-12.2,-12.2,-4.3,0.8,-1.6094,-0.60297,-13.8,-7.2659,35.2
YFL045C,1.7918,5.0626,6.6399,6.8065,0.29893,5.2832,-1.1087,6.8035,0.58,-0.92231,-7.7,-7.7,-0.7,-8.3,-1.6094,-0.51669,-14.6,-9.3667,28.5
YLR362W,3.4012,4.7185,7.6751,3.105,-0.26537,2.3224,-2.1982,4.1897,0.39,-2.4841,-1.3,-1.3,-9.2,-5.4,-1.6094,-0.58638,-19.7,-7.3671,40.6
YPL024W,4.7958,4.7095,6.5876,3.5531,-0.87067,2.8959,-2.4079,3.8712,0.39,-2.6956,-10.3,1.3,-18.1,-2,-1.6094,-0.46077,-12.3,-8.8261,29.9
YKL134C,4.0073,5.5645,7.7489,3.2969,-0.65575,2.0919,-2.273,4.2244,0.36,-2.5059,-5.2,5.4,-8.9,0,-1.6094,-0.5986,-16.6,-7.547,28.3
YBR273C,3.4012,4.6728,7.1785,3.9882,0.1096,2.2192,-1.5606,4.2195,0.38,-2.1473,-9.9,-9.9,-3.6,-1.7,-1.6094,-0.54876,-20.4,-9.5479,34
YGL237C,4.4188,4.92,6.6821,3.0699,0.36084,2.0669,-1.743,4.0604,0.3,-2.7871,-6.8,7.2,-2.4,-0.4,-1.6094,-0.60552,-16.6,-8.972,37.8
YOL129W,2.9957,4.9836,6.319,5.1871,0.07107,4.1987,-1.5606,5.108,0.35,-2.249,-11.1,-11.1,2.6,-3.1,-1.6094,-0.59636,-17.7,-9.3824,31.6
YDR299W,4.2195,4.4998,7.3809,4.1291,0.21487,1.6292,-0.13239,5.8861,0.45,-1.1354,-2.3,-13.3,-3.1,-1.1,-1.6094,-0.63003,-14.1,-6.4379,9.7
YPL040C,2.6391,4.2905,8.0094,3.2324,-1.1795,2.0149,-2.0326,4.1589,0.36,-1.8042,-1.8,-1.8,-11.3,-6.4,-1.6094,-0.57178,-14.4,-7.6697,34.9
YIL091C,3.5553,3.989,7.6806,4.1411,-0.2187,1.7047,-0.5674,5.383,0.41,-1.7293,-1.8,-2.6,-3.2,2.7,-1.6094,-0.56537,-15.9,-7.5648,39
YLR253W,4.2905,4.2195,7.4442,3.5998,-0.88046,2.4069,-1.7958,4.7095,0.34,-1.4139,-4.1,-5.4,-3.9,-4.9,-1.6094,-0.47203,-17.1,-8.0273,38.2
YIL106W,2.7726,4.625,6.8512,3.8704,0.27957,2.3321,-1.4784,4.7318,0.33,-2.0032,-4.07,-4.07,-11.8,-3.09,-1.6094,-0.57403,-17.6,-7.53,37.1
YML127W,3.8712,4.7875,7.4651,4.2136,-0.29839,2.2192,-1.2553,5.3891,0.35,-2.3969,-7.9,-2.5,1.3,2.4,-1.6094,-0.41897,-20.5,-8.8175,28.9
YDR507C,4.6634,5.1705,8.14,4.377,-0.38378,1.7918,-0.75502,4.5816,0.4,-1.751,-4.6,-5.8,3.2,-5.7,0.18232,-0.67044,-18,-7.1381,33.3
YER169W,5.4596,5.3083,7.7795,3.2007,-0.70421,1.8871,-0.95451,3.9053,0.34,-1.9863,-4,-12,-4,3.2,-1.6094,-0.52101,-18.8,-7.8103,35.7
YOR226C,2.9957,5.0562,6.1549,4.8278,0.22741,2.6603,-1.4439,6.5994,0.36,-1.0455,0,0,-11,-5.4,-1.6094,-0.32341,-18.1,-10.336,36.2
YCR060W,3.2189,4.804,5.8171,4.407,-0.039289,3.0587,-1.6503,4.7679,0.33,-1.4793,-4.9,-4.9,-9.6,-7.4,-1.6094,-0.34742,-15.7,-12,31.6
YBR016W,3.5835,5.3279,5.9584,4.8672,1.0172,2.3795,-0.23826,4.7318,0.35,-1.1657,3.1,-4.9,2.1,-3.2,-1.6094,-0.32361,-14.6,-8.1091,35.2
YHR089C,3.434,4.585,6.4265,5.4191,0.94643,2.3979,0.91589,7.298,0.46,-1.5936,-4.1,-4.5,-4.8,2.5,-1.6094,-0.75459,-19.2,-10.668,32.3
YPR056W,3.5835,4.9127,6.9246,3.7043,-0.26673,2.9124,-2.333,4.4026,0.37,-1.5549,-7.6,-7.4,-5.9,-5.7,-1.6094,-0.70829,-17.4,-7.5781,28.9
YDR392W,3.7136,4.8598,6.9217,3.3793,0.18346,2.1041,-1.726,4.1641,0.36,-1.5006,-10.4,-7,2.8,0.2,-1.6094,-0.53598,-24.6,-8.3344,39
YGR200C,4.0604,4.3175,7.7694,4.6964,-0.29443,2.0794,-0.81193,5.5188,0.41,-1.9569,-4.5,-1.8,-4.5,-7.3,-1.6094,-0.65988,-19.4,-8.8338,29.7
YIL127C,3.1355,4.4659,6.4313,4.1174,0.35457,1.8405,-0.67924,5.2417,0.37,-2.0818,-1.6,-1.6,-5.2,-1,-1.6094,-0.55317,-14.3,-6.5637,33.9
YJL178C,2.7081,4.8122,6.7044,4.9021,0.099914,2.6174,-1.0106,5.5347,0.4,-1.7976,-6.4,-6.4,-9,0.4,-1.6094,-0.47406,-16.9,-10.276,29.7
YKL113C,3.2189,4.6821,7.0466,4.3511,-0.18905,2.4336,-1.4106,4.765,0.41,-1.7248,-4.5,-4.5,-7.8,-2.8,-1.6094,-0.53973,-16.5,-8.3784,35.7
YKR006C,2.3026,4.5109,6.6783,4.5044,0.092985,2.5953,-1.291,5.9524,0.43,-2.665,-9.2,-9.2,-6.2,-3.7,-1.6094,-0.49838,-24.2,-8.232,35.2
YPR138C,5.4337,4.9488,7.293,4.2361,-1.2812,2.1633,-1.7779,5.7756,0.37,-1.5455,0.5,-4.6,-1.2,0,-1.6094,-0.54741,-21.8,-10.553,39.6
YIL005W,4.8903,5.2149,7.6525,4.0913,-0.20013,2.1518,-1.2073,4.2097,0.39,-2.6941,-9,-7.9,0,0.4,-1.6094,-0.52462,-16.1,-6.7957,29.7
YNL119W,2.0794,4.8752,7.3011,3.6305,-0.64832,3.5439,-2.6173,4.4466,0.39,-2.6479,-13.3,-13.3,-10.7,-2.3,-1.6094,-0.61083,-12.4,-6.3958,44
YHR079C,5.4889,5.3845,8.1161,3.5077,-1.5805,1.6677,-1.1056,4.0073,0.33,-2.7726,-5.9,-4,-5.8,-1.4,0.18232,-0.66395,-15.4,-7.7715,39.6
YNR019W,3.7377,4.8903,7.5648,4.1518,0.04387,2.2618,-3.2702,3.9703,0.41,-1.7499,-3.5,-2.2,-12.4,-6.5,-1.6094,-0.38324,-17.6,-8.5333,61
YGR158C,3.7842,5.4161,6.6241,4.1978,0.089501,2.3026,-1.204,5.504,0.38,-2.4046,-0.9,-2.87,-0.2,-1.04,-1.6094,-0.57421,-19.9,-8.6542,38.3
YKL077W,3.9512,5.5413,7.0724,5.3768,0.077793,2.9069,-1.0272,6.1063,0.42,-1.7037,-8.9,-12.6,-1.9,-0.9,-1.6094,-0.61657,-17.3,-7.6947,32
YLR354C,3.6889,5.0689,6.9157,6.8949,0.28845,3.3979,-0.2408,7.6933,0.6,-0.54387,-2.7,-2.7,-7.9,-1.6,-1.6094,-0.46817,-18.3,-9.5844,28
YIL065C,3.6376,4.2485,6.1485,4.166,0.2082,2.7213,-0.9835,4.6085,0.34,-2.1312,-9.1,-7.8,-6.5,-5.7,-1.6094,-0.29257,-21.3,-11.314,26.7
YGR167W,3.9318,5.0689,6.5539,5.6418,0.51124,2.3418,-0.22065,6.3682,0.47,-2.0137,-4.8,8.4,-5.1,11.9,-1.6094,-0.60217,-13.5,-7.7591,29.1
YBR161W,6.0162,4.8363,7.0309,3.443,-0.31841,2.3888,-1.9951,3.8067,0.38,-3.1078,-3.9,0,5,-1.8,-1.6094,-0.48069,-18.3,-7.2972,43.1
YPL145C,5.5094,6.2344,7.174,5.4842,-0.016958,2.4423,-1.0556,6.8061,0.44,-1.4719,3.3,-2.7,-9.2,-4,0.78846,-0.56976,-16.9,-7.5238,34.5
YHL019C,3.4965,4.4773,7.5055,3.0479,-0.77572,2.2721,-2.4651,3.7136,0.35,-2.495,-18.8,-18.8,-10.8,-5.9,-1.6094,-0.39238,-16.9,-7.4978,33.8
YOR385W,2.0794,5.6419,6.7719,2.7801,-0.0062228,2.6672,-2.0956,4.295,0.33,-1.3649,-11.1,-11.1,0,0,-1.6094,-0.69042,-14.7,-6.9714,46.2
YGR185C,3.434,4.5218,7.0775,6.1893,0.042665,2.5953,0.30748,7.3014,0.48,-2.6325,-6.2,-6.2,-6.3,-2.6,-1.6094,-0.50445,-17.7,-9.6763,28.7
YNL274C,3.7842,4.6634,6.9594,3.3464,0.22904,2.2925,-1.5702,3.9416,0.41,-2.8439,1.4,-1.1,1,-4.9,-1.6094,-0.5664,-18.6,-9.8706,29
YOR101W,4.3041,5.366,6.8352,4.3178,-0.032101,2.1748,-0.23699,4.6728,0.38,-1.5329,-6.3,-7.4,-6.7,-1.8,-1.6094,-0.6157,-14.8,-8.0586,36
YBR283C,4.9628,5.0999,7.2951,5.7805,-0.15436,2.7279,0.34642,7.0046,0.47,-1.8128,-2.2,-6.9,-6.7,-6.6,0.18232,-0.61812,-18.1,-8.3521,28.8
YML104C,3.6109,4.0943,8.1268,3.6106,-1.9697,2.3888,-1.8643,3.6636,0.35,-2.4746,-6.4,-8.4,1.1,-3,-1.6094,-0.61836,-16.5,-7.1027,38.1
YOL058W,4.2767,4.9416,7.1412,3.3813,0.32661,2.5257,1.7084,9.2853,0.52,-2.6897,-3.6,-4.2,-11.7,-7.9,-1.6094,-0.43896,-19.8,-10.788,37.1
YDL056W,4.5539,4.3041,7.8248,3.536,-0.62041,1.8083,-1.1363,4.0134,0.36,-2.1278,-1.8,-9.9,-1.2,-2.6,-1.6094,-0.64554,-16.7,-6.1854,32.4
YPR017C,2.1972,5.5722,6.0684,3.8009,-0.17973,1.8871,-1.3783,4.9273,0.33,-2.2838,-17.4,-17.4,-11.1,-7.1,-1.6094,-0.50201,-14.9,-9.7308,33.1
YEL044W,1.7918,3.912,6.2166,4.2732,0.34667,2.6946,-1.3863,4.8978,0.35,-1.474,-6.6,-6.6,-7,-6.8,-1.6094,-0.24659,-26.3,-10.94,37.9
YLR016C,3.4657,3.8712,6.4216,3.6278,-0.44021,2.3418,-2.025,3.9797,0.34,-1.5451,-6.8,-6.8,-0.7,-9.6,-1.6094,-0.42761,-23.8,-9.3368,41.5
YER120W,3.2581,4.6151,6.5999,6.029,0.57113,2.9014,-0.16605,4.6913,0.43,-1.6607,-5.2,-5.2,-7.4,0,-1.6094,-0.43728,-14.8,-9.013,30.4
YHR111W,1.3863,3.8918,7.1877,3.9297,-0.041731,2.4849,-2.0099,5.1619,0.35,-1.9276,5.9,5.9,-8,-12,-1.6094,-0.56282,-22.2,-8.9209,32.7
YBR202W,4.1744,5.1705,7.8391,4.1957,-0.37163,2.0541,-0.79407,5.4424,0.38,-1.5578,-7.6,-4.5,0,-1.2,-1.6094,-0.54286,-16.3,-8.4373,31.9
YKL205W,3.434,4.804,8.1026,4.2565,-0.83514,1.9315,-0.71949,4.8389,0.38,-2.9701,-7.8,-3.8,-9.8,-5.1,-1.6094,-0.54141,-14.6,-6.5138,23.6
YDR178W,4.625,5.3083,6.3026,3.991,0.58152,2.3609,-0.47642,4.2047,0.42,-3.1821,-3.3,-5.3,-8.1,0,0.18232,-0.43049,-19.1,-10.565,34.2
YKR038C,2.0794,4.382,7.057,4.4698,-0.53583,2.5177,-1.1584,5.254,0.34,-1.656,-9.5,-9.5,-9,-0.7,-1.6094,-0.49033,-21.6,-10.481,40.1
YJL115W,4.2047,4.4427,6.7334,3.3888,0.93627,2.2192,-0.55165,5.4424,0.43,-2.398,-9.5,-1.5,2.8,-7.1,-1.6094,-0.56701,-11.4,-5.7385,30.3
YJR073C,3.1355,4.4773,6.4313,4.3644,0.10257,2.8449,-1.4065,6.6804,0.38,-1.9604,-3.9,-3.9,-7.5,-5.9,-1.6094,-0.18493,-22.9,-11.895,27.1
YGL004C,1.0986,2.7726,7.1341,3.1411,-0.01043,2.3321,-2.1286,4.3737,0.38,-2.5232,-10.7,-10.7,-2.6,-2.6,-1.6094,-0.61559,-17,-8.475,34.7
YMR132C,4.4543,5.4027,6.4409,2.9533,-0.010488,2.681,-2.2828,4.0372,0.36,-2.655,-7,-7.1,-7.3,-3.8,-1.6094,-0.61117,-9.4,-5.9579,36.8
YLR409C,3.8501,3.9318,7.9445,4.5182,-0.33874,1.6864,-0.24207,4.7362,0.4,-2.6838,-4.3,-9,-7.6,-3.5,-1.6094,-0.65489,-17.2,-8.4033,36.3
YKR065C,2.6391,4.7875,6.3869,4.8668,0.27418,2.6603,-1.1907,5.3845,0.39,-1.7154,2.7,2.7,-5.6,-5.5,-1.6094,-0.53164,-22.4,-9.5889,35
YMR267W,4.4998,5.0239,6.8384,3.9973,-0.23864,3.9722,-2.6173,3.9318,0.37,-2.3026,-3.3,-3.5,-7.1,-7,0.18232,-0.58841,-15.1,-7.7867,34.1
YDR232W,5.5255,5.1591,7.4067,5.1547,-0.30963,2.23,-0.66359,5.0261,0.43,-1.1255,-6.2,-7.9,-7,0,0.18232,-0.40938,-28,-10.811,39.3
YOR289W,2.7726,4.382,6.628,2.6885,-0.089548,3.157,-3.4112,3.902,0.35,-3.0366,-8.3,-8.3,-6.6,-2.6,-1.6094,-0.56282,-14.9,-8.275,24.4
YDR390C,3.3322,3.9512,7.5554,3.9675,-0.37702,1.9021,-0.75929,5.0958,0.4,-2.398,-6.8,-6.8,-7.2,-2.1,-1.6094,-0.65113,-15.2,-7.0255,36.4
YFL047W,2.0794,4.1431,7.6709,4.0111,-0.72386,2.0669,-1.0244,4.9028,0.37,-2.3392,-15.7,-15.7,-2,-5.1,-1.6094,-0.49951,-20.7,-8.5843,33.6
YPR144C,2.1972,4.2485,7.414,4.084,-0.26208,1.7047,-0.61065,5.2644,0.38,-2.0174,-4.3,-4.3,-5.1,-3.4,0.18232,-0.50026,-17.1,-7.1704,31.9
YGR100W,4.4067,4.5539,7.9561,3.7155,-0.77901,2.23,-1.6246,4.538,0.37,-2.9114,-6.7,-3.6,-10.2,-9.9,-1.6094,-0.62231,-17.6,-8.071,34.8
YIR011C,2.7081,4.7005,6.8669,3.9482,-0.087222,2.0919,-0.78746,3.922,0.34,-1.3935,-12.3,-12.3,-9.1,-7.2,-1.6094,-0.50373,-24.7,-8.399,54.6
YDR444W,4.4427,3.7842,7.6324,3.34,-1.179,2.2513,-1.6451,4.119,0.35,-2.1261,-5.4,-5.6,-4.6,-4.4,-1.6094,-0.55038,-15.8,-8.4373,39.3
YOR002W,3.6889,4.1897,7.3994,4.5394,-0.85172,2.6741,-1.1809,4.4148,0.33,-2.435,-5.8,-8.2,0.5,-10.6,-1.6094,-0.54247,-15.1,-8.2226,32
YDR189W,3.7377,4.4659,7.6014,4.4337,-0.16202,2.1633,-0.85097,5.4999,0.42,-2.1354,4.7,-5.1,-6.9,-9.8,-1.6094,-0.49686,-18.8,-7.3985,27.7
YIL093C,4.3041,4.7707,6.6783,3.6909,0.12683,2.5416,-2.273,5.178,0.36,-1.458,-2.5,-3.5,-8.7,-9.6,-1.6094,-0.43228,-15.4,-9.68,38.2
YLR397C,2.9444,4.9127,7.7592,3.9326,-0.22736,2.2513,-1.474,4.9003,0.37,-1.7591,-4.7,-4.7,-5.2,0,-1.6094,-0.64849,-21,-9.4377,34.8
YIL104C,3.3673,4.585,7.3291,3.5482,-0.18711,2.1041,-1.6607,4.8149,0.37,-1.9849,-2.6,-2.6,-3.9,-3,-1.6094,-0.52061,-17.6,-7.4469,36.9
YGR111W,3.4657,4.7095,7.0926,4.1925,-0.20114,2.9857,-2.1716,4.585,0.38,-3.3242,-7.2,-7.4,-7.3,-5.1,-1.6094,-0.56178,-14.2,-7.7846,30.5
YGL155W,4.7362,3.8501,7.0309,4.1691,-0.9427,2.7279,-1.5233,4.3694,0.33,-2.7551,-7.8,2.5,-4.6,-7.3,-1.6094,-0.57509,-15.2,-8.65,41.8
YMR037C,6.0591,5.5797,7.6568,3.7362,-0.29422,1.2238,-0.71949,4.6444,0.34,-2.2481,-5.8,-12.4,-4.6,-4.4,-1.6094,-0.58185,-19.6,-5.9388,34
YEL027W,2.3979,5.5294,6.18,7.2344,0.31795,3.91,0.47561,6.4968,0.53,-2.4338,-6.3,-6.3,-13.9,-3.1,-1.6094,-0.61122,-18.4,-11.127,28.9
YLR452C,4.382,5.3753,7.6483,4.7075,-0.68604,1.411,0.81404,4.7679,0.38,-1.5659,6.5,-5.2,-2.7,-4.2,-1.6094,-0.61776,-16.5,-7.1691,33.9
YOR086C,5.2781,4.4659,8.1778,4.964,-0.54862,2.3418,-0.78526,5.5161,0.45,-2.3592,-7.6,-9.4,-3.2,-3.5,-1.6094,-0.5631,-17.6,-8.1957,32.6
YDR020C,4.1744,5.7961,6.5497,3.4732,-0.23023,2.3888,-2.1804,4.9836,0.39,-2.1707,-6,-0.9,-10.6,-0.5,-1.6094,-0.58385,-12,-6.4136,40.9
YPL213W,3.8501,4.8828,6.5751,3.2914,0.34198,2.3702,-1.8389,5.0689,0.34,-2.3698,-5.8,-7.1,-6,-8.1,-1.6094,-0.54858,-17.5,-7.6955,33.3
YGL060W,4.8675,4.4773,7.5632,3.5246,-0.56294,2.3125,-1.9878,4.7215,0.38,-3.1123,-6.3,-10.8,0.8,-7.5,-1.6094,-0.58374,-16.3,-6.9286,23.6
YGR191W,5.4161,5.4381,7.5022,4.5692,0.1384,2.1518,-0.32712,6.5348,0.4,-1.4346,0,-4.2,-6.2,-4.3,0.18232,-0.61685,-17,-9.1136,33.4
YBL061C,3.8286,4.2195,7.6454,4.2374,-0.54581,1.9169,-0.63488,4.4067,0.36,-2.3925,-7.2,1.2,-5.8,-7.2,-1.6094,-0.66768,-18.6,-8.5779,30.5
YMR140W,3.9512,6.7322,7.293,3.6545,-0.47608,2.1282,-1.7037,4.4268,0.38,-2.1128,-7.1,-7,3.7,-2.2,-1.6094,-0.60179,-13.3,-7.4319,38.2
YPR114W,4.3567,4.7875,6.8544,4.8493,-0.54266,2.0149,-0.28236,6.0765,0.37,-2.1786,1,-3.2,-6.5,-6.1,-1.6094,-0.34136,-14.7,-8.3667,35.7
YPR163C,4.4427,5.0434,7.1785,6.3285,0.31617,2.7663,0.20376,7.3846,0.53,-1.7204,-2.9,3,3,-1.6,-1.6094,-0.70262,-19,-10.979,27.1
YDR527W,3.091,4.3438,7.1854,4.1361,-0.42036,2.0919,-0.61434,4.823,0.41,-2.3444,-14.1,-14.1,-5.5,-7.6,-1.6094,-0.54549,-14.8,-7.2738,36.4
YML038C,4.8203,5.3706,7.1922,4.1094,-0.95112,1.9315,-0.76572,5.1571,0.35,-1.3626,-2.8,-1.6,-8.7,-3,0.18232,-0.54227,-24.7,-8.8093,0
YGL018C,3.2189,4.9127,6.319,3.2457,0.41631,2.2824,-2.1456,4.2674,0.4,-2.3096,-7.5,-7.5,-6.2,-3.7,-1.6094,-0.41715,-19.2,-7.9882,38.2
YMR075W,6.7696,4.7274,7.628,3.2737,-0.51247,0.99325,-0.41703,4.3373,0.38,-2.0802,-3,-7.1,-1.8,-7.2,-1.6094,-0.62617,-17,-5.5209,33.6
YHR169W,3.2958,4.4188,7.167,4.1179,-0.18118,1.9315,-0.86988,5.3906,0.37,-1.3194,-3.6,-3.6,-5,-13.1,-1.6094,-0.53703,-17.5,-9.4762,39.4
YNL059C,3.4965,4.7005,7.7267,4.3834,-0.55999,2.1518,-0.36962,4.8256,0.4,-2.5108,-10.9,-10.9,-7.8,-5.7,-1.6094,-0.62757,-14.6,-6.58,27.3
YPL161C,4.1109,4.5539,7.5507,3.2048,-0.34601,2.1518,-2.1037,4.5951,0.34,-3.0944,-8.2,2.2,-9.4,-4.7,-1.6094,-0.60966,-15.4,-6.7,35.6
YIL121W,1.3863,5.1299,7.3957,4.1156,-0.65144,2.3979,-0.46681,5.6107,0.35,-2.4604,-4.4,-4.4,-7.6,-4.1,-1.6094,-0.53055,-21.8,-10.081,50
YDL097C,3.434,4.585,7.174,5.3584,0.15847,2.4765,-0.24974,6.3607,0.38,-0.90313,-3.2,-3.2,-8.4,6,-1.6094,-0.38478,-18.2,-8.4071,32.4
YML096W,3.1781,4.7274,7.3639,3.5571,-0.74525,2.0149,-1.0906,4.0342,0.33,-2.3248,-8.9,-8.9,-3.8,-8.9,-1.6094,-0.63327,-17.1,-8.3627,34.2
YHR192W,2.1972,4.3694,6.7298,3.9789,-0.16452,2.8959,-2.4651,4.6508,0.34,-2.0931,1.5,1.5,4.7,-4.5,-1.6094,-0.46853,-14.9,-7.3462,34.7
YKL079W,5.0304,4.2767,7.5863,3.6582,-0.52093,2.0669,-1.5702,4.6666,0.36,-2.0265,-4.5,0,-5.9,-5.4,-1.6094,-0.63853,-15.2,-6.975,23.8
YGL229C,5.4293,5.5645,7.8067,3.0643,-1.6364,2.1282,-1.6983,3.8712,0.39,-3.2995,-5.2,-1.5,-9.5,-0.9,-1.6094,-0.59108,-18.5,-7.6275,36.5
YGL098W,6.3172,5.6204,6.6039,3.7082,0.14408,2.1972,-1.7838,4.2341,0.38,-1.8502,-8.1,-10,-7.6,3.2,-1.6094,-0.59704,-13.3,-7.587,40.4
YDL211C,3.8501,5.0434,7.0202,2.4544,-0.80004,1.4816,-2.1456,4.0073,0.33,-2.4407,-10.1,-13.4,-2.2,-7.5,-1.6094,-0.6115,-17.4,-6.3028,11
YER067W,4.3307,4.4886,6.1862,4.0406,0.29251,2.5257,-0.23446,4.3944,0.43,-2.527,-7.1,-6.2,-16.7,2.43,-1.6094,-0.58157,-15.9,-7.8667,34.3
YGR161C,4.5326,5.5872,6.6746,3.5334,0.65292,1.7047,0.62111,4.9675,0.37,-1.4837,-3.1,-3.7,-3.4,-3.9,-1.6094,-0.49577,-15.2,-7.0488,44
YPL069C,3.2189,5.2257,6.9157,3.3499,-0.67163,2.1861,-2.0326,4.4886,0.37,-2.7551,-7,-7,-4.6,3.2,-1.6094,-0.47293,-16.7,-7.6937,34.2
YGL216W,5.5872,3.8286,7.7907,3.5718,-0.84917,2.0015,-1.8389,4.4886,0.34,-1.722,5.9,-12.3,-7.7,-2.52,-1.6094,-0.47139,-19.8,-8.4532,26
YKL179C,2.6391,4.7707,7.6207,4.2331,-0.51952,1.9601,-1.0996,4.6184,0.38,-1.7159,-2,-2,-5.6,-4.7,-1.6094,-0.64918,-15.6,-6.8333,3.9
YNL004W,3.2958,4.92,7.2189,4.1289,0.12614,1.9741,-0.37542,5.826,0.36,-2.2275,-4.4,-4.4,-2.5,3,-1.6094,-0.62791,-18.3,-8.6159,40.8
YDR172W,3.7842,5.1648,7.6295,5.8789,0.19631,2.2925,0.065788,7.4565,0.49,-0.81962,0.2,-7.5,-7.8,-7.9,-1.6094,-0.56367,-13.3,-8.3075,29.5
YDR394W,4.6444,4.4543,7.1601,5.2111,0.093379,2.3125,-0.20212,4.7791,0.43,-1.4486,-2.7,-6.5,-8.9,-3.2,-1.6094,-0.58111,-15.7,-8.4537,34.3
YBR267W,2.8332,4.7791,7.075,4.2213,0.21026,2.2192,-0.71539,5.8972,0.41,-0.58753,-11,-11,-7.1,-4.2,-1.6094,-0.35476,-15.6,-9.1974,44.4
YOL115W,4.2627,4.6728,7.4702,3.9784,-0.61315,2.1633,-1.1239,4.5799,0.37,-1.9112,-9.6,-7.9,-5.9,-6.5,-1.6094,-0.68004,-16.4,-7.3211,31.7
