,5UTRlen,3UTRlen,CDSlen,mRNA_DW,Eff_DW,hl_JC_RZ,syn_JC_RZ,pro,tAI,TR,startWin_1_MEE,startWin_end_MEE,stopWin_1_MEE,stopWin_end_MEE,uORF,GC3,CDSminMFE,CDSmeanMFE,pAlen2
YDR299W,4.2195,4.4998,7.3809,4.1291,0.21487,1.335,1.6603,5.8861,0.45,-1.1354,-2.3,-13.3,-3.1,-1.1,-1.6094,-0.63891,-14.1,-6.4379,9.7
YPL040C,2.6391,4.2905,8.0094,3.2324,-1.1795,1.5041,0.99652,4.1589,0.36,-1.8042,-1.8,-1.8,-11.3,-6.4,-1.6094,-0.58015,-14.4,-7.6697,34.9
YIL091C,3.5553,3.989,7.6806,4.1411,-0.2187,1.0296,2.0479,5.383,0.41,-1.7293,-1.8,-2.6,-3.2,2.7,-1.6094,-0.57369,-15.9,-7.5648,39
YLR253W,4.2905,4.2195,7.4442,3.5998,-0.88046,1.2809,1.6874,4.7095,0.34,-1.4139,-4.1,-5.4,-3.9,-4.9,-1.6094,-0.4796,-17.1,-8.0273,38.2
YML127W,3.8712,4.7875,7.4651,4.2136,-0.29839,2.3125,0.46876,5.3891,0.35,-2.3969,-7.9,-2.5,1.3,2.4,-1.6094,-0.42616,-20.5,-8.8175,28.9
YDR507C,4.6634,5.1705,8.14,4.377,-0.38378,1.5892,1.3663,4.5816,0.4,-1.751,-4.6,-5.8,3.2,-5.7,0.18232,-0.67968,-18,-7.1381,33.3
YER169W,5.4596,5.3083,7.7795,3.2007,-0.70421,1.2238,1.4853,3.9053,0.34,-1.9863,-4,-12,-4,3.2,-1.6094,-0.52897,-18.8,-7.8103,35.7
YOR226C,2.9957,5.0562,6.1549,4.8278,0.22741,2.0015,1.7501,6.5994,0.36,-1.0455,0,0,-11,-5.4,-1.6094,-0.32993,-18.1,-10.336,36.2
YCR060W,3.2189,4.804,5.8171,4.407,-0.039289,1.6292,2.7401,4.7679,0.33,-1.4793,-4.9,-4.9,-9.6,-7.4,-1.6094,-0.35411,-15.7,-12,31.6
YHR089C,3.434,4.585,6.4265,5.4191,0.94643,1.1314,2.3988,7.298,0.46,-1.5936,-4.1,-4.5,-4.8,2.5,-1.6094,-0.76465,-19.2,-10.668,32.3
YDR392W,3.7136,4.8598,6.9217,3.3793,0.18346,1.9021,1.2261,4.1641,0.36,-1.5006,-10.4,-7,2.8,0.2,-1.6094,-0.54405,-24.6,-8.3344,39
YGR200C,4.0604,4.3175,7.7694,4.6964,-0.29443,2.2925,1.2096,5.5188,0.41,-1.9569,-4.5,-1.8,-4.5,-7.3,-1.6094,-0.66903,-19.4,-8.8338,29.7
YJL178C,2.7081,4.8122,6.7044,4.9021,0.099914,2.0669,1.8307,5.5347,0.4,-1.7976,-6.4,-6.4,-9,0.4,-1.6094,-0.48165,-16.9,-10.276,29.7
YKL113C,3.2189,4.6821,7.0466,4.3511,-0.18905,1.1632,1.7583,4.765,0.41,-1.7248,-4.5,-4.5,-7.8,-2.8,-1.6094,-0.54784,-16.5,-8.3784,35.7
YKR006C,2.3026,4.5109,6.6783,4.5044,0.092985,1.6487,2.4739,5.9524,0.43,-2.665,-9.2,-9.2,-6.2,-3.7,-1.6094,-0.50615,-24.2,-8.232,35.2
YPR138C,5.4337,4.9488,7.293,4.2361,-1.2812,1.6292,1.7749,5.7756,0.37,-1.5455,0.5,-4.6,-1.2,0,-1.6094,-0.55558,-21.8,-10.553,39.6
YIL005W,4.8903,5.2149,7.6525,4.0913,-0.20013,1.1939,2.3808,4.2097,0.39,-2.6941,-9,-7.9,0,0.4,-1.6094,-0.5326,-16.1,-6.7957,29.7
YHR079C,5.4889,5.3845,8.1161,3.5077,-1.5805,2.0541,0.60517,4.0073,0.33,-2.7726,-5.9,-4,-5.8,-1.4,0.18232,-0.67313,-15.4,-7.7715,39.6
YLR354C,3.6889,5.0689,6.9157,6.8949,0.28845,3.035,3.1025,7.6933,0.6,-0.54387,-2.7,-2.7,-7.9,-1.6,-1.6094,-0.47571,-18.3,-9.5844,28
YIL065C,3.6376,4.2485,6.1485,4.166,0.2082,2.2083,1.1882,4.6085,0.34,-2.1312,-9.1,-7.8,-6.5,-5.7,-1.6094,-0.2989,-21.3,-11.314,26.7
YLR301W,3.434,4.6913,6.5999,5.9658,0.42479,3.6055,1.3753,6.3491,0.49,-1.8483,0.1,-0.1,-7.2,-1,-1.6094,-0.57353,-16,-8.3087,26.3
YGR167W,3.9318,5.0689,6.5539,5.6418,0.51124,2.8507,2.2564,6.3682,0.47,-2.0137,-4.8,8.4,-5.1,11.9,-1.6094,-0.6108,-13.5,-7.7591,29.1
YBR161W,6.0162,4.8363,7.0309,3.443,-0.31841,2.7788,-0.087396,3.8067,0.38,-3.1078,-3.9,0,5,-1.8,-1.6094,-0.48833,-18.3,-7.2972,43.1
YPL145C,5.5094,6.2344,7.174,5.4842,-0.016958,2.6319,2.0553,6.8061,0.44,-1.4719,3.3,-2.7,-9.2,-4,0.78846,-0.57812,-16.9,-7.5238,34.5
YHL019C,3.4965,4.4773,7.5055,3.0479,-0.77572,2.7663,-0.43147,3.7136,0.35,-2.495,-18.8,-18.8,-10.8,-5.9,-1.6094,-0.39937,-16.9,-7.4978,33.8
YGR185C,3.434,4.5218,7.0775,6.1893,0.042665,3.3707,1.9205,7.3014,0.48,-2.6325,-6.2,-6.2,-6.3,-2.6,-1.6094,-0.51227,-17.7,-9.6763,28.7
YOR101W,4.3041,5.366,6.8352,4.3178,-0.032101,0.87547,2.2524,4.6728,0.38,-1.5329,-6.3,-7.4,-6.7,-1.8,-1.6094,-0.62445,-14.8,-8.0586,36
YBR283C,4.9628,5.0999,7.2951,5.7805,-0.15436,2.3418,2.3742,7.0046,0.47,-1.8128,-2.2,-6.9,-6.7,-6.6,0.18232,-0.6269,-18.1,-8.3521,28.8
YML104C,3.6109,4.0943,8.1268,3.6106,-1.9697,2.1282,0.1587,3.6636,0.35,-2.4746,-6.4,-8.4,1.1,-3,-1.6094,-0.62714,-16.5,-7.1027,38.1
YOL058W,4.2767,4.9416,7.1412,3.3813,0.32661,1.1632,5.0577,9.2853,0.52,-2.6897,-3.6,-4.2,-11.7,-7.9,-1.6094,-0.44629,-19.8,-10.788,37.1
YDL056W,4.5539,4.3041,7.8248,3.536,-0.62041,2.0149,0.70924,4.0134,0.36,-2.1278,-1.8,-9.9,-1.2,-2.6,-1.6094,-0.65455,-16.7,-6.1854,32.4
YPR017C,2.1972,5.5722,6.0684,3.8009,-0.17973,0.87547,2.4068,4.9273,0.33,-2.2838,-17.4,-17.4,-11.1,-7.1,-1.6094,-0.50981,-14.9,-9.7308,33.1
YEL044W,1.7918,3.912,6.2166,4.2732,0.34667,1.7047,1.9648,4.8978,0.35,-1.474,-6.6,-6.6,-7,-6.8,-1.6094,-0.25263,-26.3,-10.94,37.9
YLR016C,3.4657,3.8712,6.4216,3.6278,-0.44021,1.6487,1.5921,3.9797,0.34,-1.5451,-6.8,-6.8,-0.7,-9.6,-1.6094,-0.43486,-23.8,-9.3368,41.5
YER120W,3.2581,4.6151,6.5999,6.029,0.57113,2.9392,1.5536,4.6913,0.43,-1.6607,-5.2,-5.2,-7.4,0,-1.6094,-0.44459,-14.8,-9.013,30.4
YHR111W,1.3863,3.8918,7.1877,3.9297,-0.041731,2.3609,0.87829,5.1619,0.35,-1.9276,5.9,5.9,-8,-12,-1.6094,-0.57112,-22.2,-8.9209,32.7
YBR202W,4.1744,5.1705,7.8391,4.1957,-0.37163,1.3863,1.5675,5.4424,0.38,-1.5578,-7.6,-4.5,0,-1.2,-1.6094,-0.55099,-16.3,-8.4373,31.9
YDR178W,4.625,5.3083,6.3026,3.991,0.58152,2.8679,0.80076,4.2047,0.42,-3.1821,-3.3,-5.3,-8.1,0,0.18232,-0.43776,-19.1,-10.565,34.2
YKR038C,2.0794,4.382,7.057,4.4698,-0.53583,1.5686,1.7027,5.254,0.34,-1.656,-9.5,-9.5,-9,-0.7,-1.6094,-0.49805,-21.6,-10.481,40.1
YJL115W,4.2047,4.4427,6.7334,3.3888,0.93627,2.2618,0.14964,5.4424,0.43,-2.398,-9.5,-1.5,2.8,-7.1,-1.6094,-0.57534,-11.4,-5.7385,30.3
YJR073C,3.1355,4.4773,6.4313,4.3644,0.10257,2.8094,2.3563,6.6804,0.38,-1.9604,-3.9,-3.9,-7.5,-5.9,-1.6094,-0.19061,-22.9,-11.895,27.1
YGL004C,1.0986,2.7726,7.1341,3.1411,-0.01043,2.7213,0.38602,4.3737,0.38,-2.5232,-10.7,-10.7,-2.6,-2.6,-1.6094,-0.62434,-17,-8.475,34.7
YMR292W,3.4012,4.4543,6.0331,4.8523,-0.011074,1.9459,2.355,5.3327,0.37,-3.1055,-6.4,-6.4,-9.2,3.3,-1.6094,-0.64995,-10.9,-7.4917,29.9
YLR409C,3.8501,3.9318,7.9445,4.5182,-0.33874,1.5261,1.9064,4.7362,0.4,-2.6838,-4.3,-9,-7.6,-3.5,-1.6094,-0.66399,-17.2,-8.4033,36.3
YKR065C,2.6391,4.7875,6.3869,4.8668,0.27418,2.7726,1.6205,5.3845,0.39,-1.7154,2.7,2.7,-5.6,-5.5,-1.6094,-0.53968,-22.4,-9.5889,35
YMR267W,4.4998,5.0239,6.8384,3.9973,-0.23864,1.6487,1.5538,3.9318,0.37,-2.3026,-3.3,-3.5,-7.1,-7,0.18232,-0.59693,-15.1,-7.7867,34.1
YDR232W,5.5255,5.1591,7.4067,5.1547,-0.30963,1.4586,2.3443,5.0261,0.43,-1.1255,-6.2,-7.9,-7,0,0.18232,-0.4165,-28,-10.811,39.3
YDR390C,3.3322,3.9512,7.5554,3.9675,-0.37702,1.7047,1.3065,5.0958,0.4,-2.398,-6.8,-6.8,-7.2,-2.1,-1.6094,-0.66019,-15.2,-7.0255,36.4
YFL047W,2.0794,4.1431,7.6709,4.0111,-0.72386,2.4681,0.49764,4.9028,0.37,-2.3392,-15.7,-15.7,-2,-5.1,-1.6094,-0.50729,-20.7,-8.5843,33.6
YPR144C,2.1972,4.2485,7.414,4.084,-0.26208,1.2809,1.8364,5.2644,0.38,-2.0174,-4.3,-4.3,-5.1,-3.4,0.18232,-0.50806,-17.1,-7.1704,31.9
YGR100W,4.4067,4.5539,7.9561,3.7155,-0.77901,2.9392,0.1396,4.538,0.37,-2.9114,-6.7,-3.6,-10.2,-9.9,-1.6094,-0.63112,-17.6,-8.071,34.8
YIR011C,2.7081,4.7005,6.8669,3.9482,-0.087222,1.8245,1.599,3.922,0.34,-1.3935,-12.3,-12.3,-9.1,-7.2,-1.6094,-0.51155,-24.7,-8.399,54.6
YOR002W,3.6889,4.1897,7.3994,4.5394,-0.85172,2.5096,1.2405,4.4148,0.33,-2.435,-5.8,-8.2,0.5,-10.6,-1.6094,-0.5506,-15.1,-8.2226,32
YDR189W,3.7377,4.4659,7.6014,4.4337,-0.16202,3.0587,0.18198,5.4999,0.42,-2.1354,4.7,-5.1,-6.9,-9.8,-1.6094,-0.50462,-18.8,-7.3985,27.7
YIL093C,4.3041,4.7707,6.6783,3.6909,0.12683,1.5686,1.8415,5.178,0.36,-1.458,-2.5,-3.5,-8.7,-9.6,-1.6094,-0.43956,-15.4,-9.68,38.2
YIL104C,3.3673,4.585,7.3291,3.5482,-0.18711,0.64185,1.9417,4.8149,0.37,-1.9849,-2.6,-2.6,-3.9,-3,-1.6094,-0.52856,-17.6,-7.4469,36.9
YGL155W,4.7362,3.8501,7.0309,4.1691,-0.9427,1.6487,1.1783,4.3694,0.33,-2.7551,-7.8,2.5,-4.6,-7.3,-1.6094,-0.58349,-15.2,-8.65,41.8
YMR037C,6.0591,5.5797,7.6568,3.7362,-0.29422,1.8563,1.1862,4.6444,0.34,-2.2481,-5.8,-12.4,-4.6,-4.4,-1.6094,-0.59031,-19.6,-5.9388,34
YEL027W,2.3979,5.5294,6.18,7.2344,0.31795,3.0301,3.0774,6.4968,0.53,-2.4338,-6.3,-6.3,-13.9,-3.1,-1.6094,-0.61993,-18.4,-11.127,28.9
YLR452C,4.382,5.3753,7.6483,4.7075,-0.68604,1.7228,1.2884,4.7679,0.38,-1.5659,6.5,-5.2,-2.7,-4.2,-1.6094,-0.62653,-16.5,-7.1691,33.9
YOR086C,5.2781,4.4659,8.1778,4.964,-0.54862,3.0445,1.2182,5.5161,0.45,-2.3592,-7.6,-9.4,-3.2,-3.5,-1.6094,-0.5714,-17.6,-8.1957,32.6
YPL213W,3.8501,4.8828,6.5751,3.2914,0.34198,1.9021,0.81686,5.0689,0.34,-2.3698,-5.8,-7.1,-6,-8.1,-1.6094,-0.55676,-17.5,-7.6955,33.3
YGL060W,4.8675,4.4773,7.5632,3.5246,-0.56294,2.1041,0.51539,4.7215,0.38,-3.1123,-6.3,-10.8,0.8,-7.5,-1.6094,-0.59221,-16.3,-6.9286,23.6
YGR191W,5.4161,5.4381,7.5022,4.5692,0.1384,1.2528,2.6676,6.5348,0.4,-1.4346,0,-4.2,-6.2,-4.3,0.18232,-0.62561,-17,-9.1136,33.4
YBL061C,3.8286,4.2195,7.6454,4.2374,-0.54581,1.775,1.5201,4.4067,0.36,-2.3925,-7.2,1.2,-5.8,-7.2,-1.6094,-0.6769,-18.6,-8.5779,30.5
YMR140W,3.9512,6.7322,7.293,3.6545,-0.47608,2.7537,0.50093,4.4268,0.38,-2.1128,-7.1,-7,3.7,-2.2,-1.6094,-0.61041,-13.3,-7.4319,38.2
YPR163C,4.4427,5.0434,7.1785,6.3285,0.31617,1.8871,3.4099,7.3846,0.53,-1.7204,-2.9,3,3,-1.6,-1.6094,-0.71217,-19,-10.979,27.1
YDR527W,3.091,4.3438,7.1854,4.1361,-0.42036,1.361,1.8267,4.823,0.41,-2.3444,-14.1,-14.1,-5.5,-7.6,-1.6094,-0.55364,-14.8,-7.2738,36.4
YGL018C,3.2189,4.9127,6.319,3.2457,0.41631,2.1748,1.0732,4.2674,0.4,-2.3096,-7.5,-7.5,-6.2,-3.7,-1.6094,-0.42432,-19.2,-7.9882,38.2
YMR075W,6.7696,4.7274,7.628,3.2737,-0.51247,1.6487,0.72962,4.3373,0.38,-2.0802,-3,-7.1,-1.8,-7.2,-1.6094,-0.63501,-17,-5.5209,33.6
YHR169W,3.2958,4.4188,7.167,4.1179,-0.18118,1.0986,1.8441,5.3906,0.37,-1.3194,-3.6,-3.6,-5,-13.1,-1.6094,-0.54511,-17.5,-9.4762,39.4
YPL161C,4.1109,4.5539,7.5507,3.2048,-0.34601,1.6292,0.90566,4.5951,0.34,-3.0944,-8.2,2.2,-9.4,-4.7,-1.6094,-0.61835,-15.4,-6.7,35.6
YIL121W,1.3863,5.1299,7.3957,4.1156,-0.65144,3.4782,-1.827,5.6107,0.35,-2.4604,-4.4,-4.4,-7.6,-4.1,-1.6094,-0.53858,-21.8,-10.081,50
YOR293W,3.2958,4.9416,5.7621,8.2454,0.47334,2.5953,3.9444,5.2347,0.64,-0.56475,-1.6,-1.6,-5.4,7,-1.6094,-0.40786,-9.9,-7,23.6
YDL097C,3.434,4.585,7.174,5.3584,0.15847,2.2407,2.3415,6.3607,0.38,-0.90313,-3.2,-3.2,-8.4,6,-1.6094,-0.39172,-18.2,-8.4071,32.4
YHR192W,2.1972,4.3694,6.7298,3.9789,-0.16452,1.7405,1.4156,4.6508,0.34,-2.0931,1.5,1.5,4.7,-4.5,-1.6094,-0.47607,-14.9,-7.3462,34.7
YKL079W,5.0304,4.2767,7.5863,3.6582,-0.52093,1.6094,1.448,4.6666,0.36,-2.0265,-4.5,0,-5.9,-5.4,-1.6094,-0.64748,-15.2,-6.975,23.8
YGL229C,5.4293,5.5645,7.8067,3.0643,-1.6364,2.4248,-0.22504,3.8712,0.39,-3.2995,-5.2,-1.5,-9.5,-0.9,-1.6094,-0.59962,-18.5,-7.6275,36.5
YGL216W,5.5872,3.8286,7.7907,3.5718,-0.84917,1.5476,0.37037,4.4886,0.34,-1.722,5.9,-12.3,-7.7,-2.52,-1.6094,-0.47896,-19.8,-8.4532,26
YFL031W,4.1897,6.0234,6.5751,7.0916,-4.2525,1.8871,3.918,4.1431,0.32,0.046502,0,0,-8.7,-12.2,-1.6094,-0.35272,-21.3,-10.564,36.8
YNL004W,3.2958,4.92,7.2189,4.1289,0.12614,1.6864,2.1845,5.826,0.36,-2.2275,-4.4,-4.4,-2.5,3,-1.6094,-0.63677,-18.3,-8.6159,40.8
YDR172W,3.7842,5.1648,7.6295,5.8789,0.19631,3.4177,1.2519,7.4565,0.49,-0.81962,0.2,-7.5,-7.8,-7.9,-1.6094,-0.57198,-13.3,-8.3075,29.5
YDR394W,4.6444,4.4543,7.1601,5.2111,0.093379,2.6101,1.8322,4.7791,0.43,-1.4486,-2.7,-6.5,-8.9,-3.2,-1.6094,-0.58956,-15.7,-8.4537,34.3
YBR267W,2.8332,4.7791,7.075,4.2213,0.21026,-0.10536,3.3604,5.8972,0.41,-0.58753,-11,-11,-7.1,-4.2,-1.6094,-0.3615,-15.6,-9.1974,44.4
YBL005W,4.1271,6.832,7.9831,3.4029,-1.2699,1.3083,1.9277,3.6636,0.37,-2.0219,-11.8,-12.9,-7.3,-7.4,-1.6094,-0.63894,-16.3,-6.774,38.4
YDR041W,2.0794,5.1417,6.4167,4.1321,0.033613,1.7228,2.1701,3.885,0.37,-2.1698,-1.5,-1.5,-1.5,-6.3,-1.6094,-0.543,-13.1,-8.2421,32
YPL236C,4.2767,5.3181,6.9985,2.9042,-0.61163,2.3125,0.25673,4.3086,0.32,-1.8566,-8.1,-2.8,-9,2.6,0.18232,-0.62619,-13.2,-7.6314,30.9
YEL042W,5.3083,4.9767,7.3505,5.2406,-0.16447,1.6094,2.3632,3.8067,0.43,-2.1542,-2,-0.2,-7.6,-4.4,-1.6094,-0.60129,-17,-7.932,33.1
YER126C,3.2581,4.9904,6.667,5.124,0.36524,2.0919,2.7961,8.1402,0.5,-1.4863,-2.4,-2.4,-9.5,-4.7,-1.6094,-0.59028,-18,-7.896,41.8
YNL121C,3.8501,5.4638,7.5251,5.4991,-0.044411,2.4248,2.2989,5.4323,0.49,-2.3056,-9,-9.8,-2.8,-2.4,-1.6094,-0.6044,-15.5,-6.6967,34.4
YHR117W,3.4657,4.5433,7.5601,4.4941,-0.49905,2.785,0.55846,5.3487,0.4,-2.2082,-10.2,-10.2,-11.7,-4,-1.6094,-0.51155,-24.3,-8.9152,29.4
YML059C,3.9703,4.9628,8.5252,3.9551,-0.97599,3.716,-0.74267,4.3351,0.38,-2.5358,-5.6,9.7,-5.6,-1.1,-1.6094,-0.57323,-19.2,-8.1801,28.7
YER035W,2.3026,4.9127,6.0822,3.7317,0.56382,2.9069,1.0216,4.9535,0.33,0.29914,-6.4,-6.4,-13.3,-4.9,-1.6094,-0.37988,-20.7,-9.7538,11.1
YPR128C,3.7842,4.5326,6.8947,4.3097,-0.39471,1.7918,1.4134,4.1026,0.38,-2.1716,-5.2,0.2,-7.7,-5.7,-1.6094,-0.57832,-14.4,-8.3903,29.2
YKL156W,3.2581,5.3279,5.5175,7.0004,0.67924,0.99325,5.3529,8.027,0.5,-0.43649,0.4,0.4,-12.2,-3.3,-1.6094,-0.58441,-15.8,-8.6,28.4
YMR134W,3.3673,3.2189,6.5709,3.6486,0.20497,1.5476,1.6239,5.0999,0.35,-1.8091,-1.4,-1.4,-3.4,-3.4,-1.6094,-0.67007,-18,-7.45,39.3
YOR168W,3.3322,4.6728,7.7956,5.9283,-0.079763,3.541,0.73367,6.9061,0.47,-1.1329,-7.3,-7.3,-10.4,-5,-1.6094,-0.6568,-15.6,-8.3911,29.9
YMR043W,1.9459,5.8021,6.7581,4.393,0.17854,1.3863,2.2441,4.8572,0.36,-1.1466,-5.4,-5.4,2.1,0,0.18232,-0.49018,-17,-7.0026,34.6
YER068W,4.4188,4.5433,7.4753,3.9637,0.15113,2.4248,0.75286,5.794,0.38,-1.6342,3.3,-4.9,-7.3,-0.6,-1.6094,-0.63643,-16.7,-7.2211,33.2
YDR046C,4.4886,4.1589,7.5038,4.8276,-0.4171,0.53063,3.5857,4.6603,0.4,-1.1584,-3.9,-10.8,0.1,-1,0.18232,-0.49909,-19.9,-9.3385,37.1
YDR316W,2.6391,4.3567,7.2556,3.121,-0.44758,1.5261,1.5543,4.1325,0.38,-1.7862,-7.2,-7.2,-0.6,-8.1,-1.6094,-0.67293,-13,-6.2798,27
YDR479C,4.1109,4.4308,7.4176,3.2488,-0.6916,2.6532,0.3765,4.1026,0.33,-2.1128,-8.5,-7.4,-0.7,-4.4,-1.6094,-0.56295,-17.9,-8.237,33.2
YFL041W,3.091,5.1533,7.5332,4.2833,-0.1888,1.4816,2.1228,5.671,0.37,-2.0479,-14.2,-14.2,0,-0.9,-1.6094,-0.52756,-16.9,-9.3672,33.9
YDR145W,4.0604,4.7875,7.3902,4.3362,-0.20156,2.1861,1.3455,4.8777,0.37,-1.1444,-8.7,-3.8,-0.8,-2.7,-1.6094,-0.61712,-16.4,-7.5346,27.5
YNL325C,5.8579,3.6636,7.8785,2.9074,-0.75569,1.361,0.66206,3.8712,0.37,-2.8268,-1.4,-8.7,-0.5,-1.9,-1.6094,-0.68214,-17.2,-7.5121,34.4
YPL020C,4.6821,4.4427,7.5316,3.5074,-0.76009,1.6292,1.5254,4.0943,0.38,-2.4604,-8.3,-2.1,-4.3,-3.2,-1.6094,-0.69182,-17.6,-6.1984,34.5
YKL130C,3.8918,4.92,6.608,4.0469,0.099559,1.9169,1.0627,4.9369,0.37,-1.1008,-2.3,-2.5,-13,-11.1,-1.6094,-0.52967,-16.9,-8.4913,35.8
YLR319C,4.2485,5.204,7.7694,3.5528,-0.44774,1.1939,1.2041,4.4582,0.38,-2.4236,-10,-5.7,-7.1,-6.4,-1.6094,-0.62073,-19.3,-8.1532,34.2
YDR295C,5.5683,4.3944,7.6133,3.4538,-0.41261,1.9879,0.60019,4.585,0.35,-2.3805,-3.6,-0.7,-2,-5.7,-1.6094,-0.55846,-15.8,-7.0733,31.2
YIL153W,3.0445,3.7842,7.075,3.7276,-0.66283,2.0015,0.78948,4.4427,0.31,-2.3687,-9.5,-9.5,-3.4,-2.8,-1.6094,-0.23825,-22.9,-11.889,33.3
YLR399C,3.8067,4.5433,7.6309,5.1211,-0.46829,1.5686,2.0134,6.3941,0.37,-0.74866,-8.6,-8.7,-4.2,-9.6,-1.6094,-0.508,-19.6,-8.5693,28.2
YAL011W,1.3863,4.5643,7.538,2.8565,-0.50509,1.5686,0.71404,4.2836,0.37,-2.2018,-1.9,-1.9,-13.6,-2,-1.6094,-0.48832,-20.2,-7.582,39.1
YBR179C,4.1589,4.1897,7.8509,3.6344,-0.54429,1.6094,1.3183,4.0604,0.38,-2.6078,-6.1,-7.9,-5.8,4.83,-1.6094,-0.6398,-21.2,-7.3363,31
YPL100W,3.9703,3.8067,7.3072,3.3351,-0.17212,2.9957,-0.018451,4.0431,0.34,-2.398,0.7,-7.6,-2.9,-10.4,-1.6094,-0.66178,-17.8,-8.4063,33.7
YLR257W,5.3181,4.5539,6.8732,5.2668,0.12953,1.8871,2.836,7.5792,0.39,-0.4441,-6.4,-11.3,-5.3,-0.1,0.18232,-0.53689,-14.4,-7.7948,32.3
YBL026W,4.2627,4.8283,5.663,5.3487,0.29447,1.4816,2.614,5.6192,0.42,-2.1037,-3.5,-1.6,-10.6,-6.6,-1.6094,-0.56324,-11.5,-7.65,34.9
YOL061W,4.0431,4.8442,7.3072,5.0915,-0.077913,1.9169,2.2278,5.8935,0.41,-1.735,-4.4,-13.3,-11,-1.4,-1.6094,-0.52358,-20.8,-9.6667,36.1
YLR450W,5.2095,4.4067,8.0513,4.1957,-0.76042,2.6391,0.78106,5.0541,0.38,-2.2018,-3.4,-4.5,1.6,8.4,-1.6094,-0.6099,-18.3,-8.5774,34.8
YNL084C,3.9703,4.3438,6.9565,4.7793,0.10207,2.7663,1.3213,5.4352,0.41,-2.3248,-8,-7.3,-0.3,-1,-1.6094,-0.63015,-16,-6.9912,32.2
YGL066W,5.1648,5.6802,7.5878,3.3222,0.003601,2.0015,0.46733,4.8013,0.36,-2.0747,-2.4,-8.6,-7.9,-8.2,-1.6094,-0.59196,-21.1,-6.9813,36.4
YOR051C,3.7136,5.1761,7.1221,4.8773,-0.068569,2.0015,2.2652,5.5543,0.43,-1.878,-5.7,-4.3,-6.5,-6.2,-1.6094,-0.63452,-19.3,-8.0525,31.3
YER174C,4.852,4.4998,6.5999,4.0893,-0.18112,1.9601,1.2541,3.9703,0.38,-2.2046,-7.8,-12.7,-5.6,-10.6,-1.6094,-0.66445,-14.7,-8.5609,12.7
YLR168C,2.9957,4.8283,6.541,3.8427,-0.78397,2.1401,2.0192,4.8978,0.4,-1.7093,-10.3,-10.3,-3.1,-5,-1.6094,-0.53351,-13.7,-7.9136,32.5
YDL019C,5.3566,4.4998,8.2563,4.206,-0.66045,2.8959,0.42793,4.6634,0.39,-2.2303,-1.8,-13.5,-5.9,1.7,0.78846,-0.6007,-17.1,-7.9486,21.1
YDR168W,3.6889,4.3307,7.3271,5.0329,0.23751,3.9834,0.25858,5.8796,0.43,-1.7204,-5.4,-3.3,-6.4,-4.1,-1.6094,-0.5928,-14.1,-7.7265,24.7
YCR002C,3.7842,4.1744,6.8763,4.772,0.18387,2.2513,1.9691,6.0299,0.41,-2.1054,-5,-2.4,-13,-9.5,-1.6094,-0.71244,-12,-7.1419,30.6
YLR088W,3.4657,5.2204,7.5202,4.3494,-0.37908,2.3224,1.2145,4.3694,0.35,-2.6146,-3.1,1.49,-1.2,0.9,-1.6094,-0.64358,-18.4,-7.7,33.3
YFL008W,3.7136,4.5326,8.2101,3.9897,-0.57397,2.9232,0.17165,4.7791,0.42,-2.4546,-9.6,-10.3,-4.7,-2.8,-1.6094,-0.60496,-18.5,-6.7488,30.8
YDR217C,4.0943,3.8067,8.2764,3.581,-0.79848,2.0919,0.75503,4.1431,0.34,-2.6353,-4.2,-1.58,-3.1,-6.3,-1.6094,-0.67505,-15.3,-6.73,31.5
YPL163C,3.091,5.5645,6.6631,4.658,0.61238,1.9879,0.75998,3.8501,0.39,-1.9885,-4.3,-4.3,-8.9,-0.8,-1.6094,-0.56051,-15.3,-6.7456,36.3
YBL052C,5.1358,4.2905,7.8224,3.6628,-1.9294,0.99325,1.495,3.6889,0.36,-2.249,-4.9,0.2,-4.5,-3.7,0.78846,-0.68348,-17.1,-6.611,33
YOR291W,4.9628,4.1589,8.3937,3.7626,-0.99942,2.1972,0.82678,4.4582,0.35,-2.8018,-3.7,-7.2,-4.1,-3,-1.6094,-0.62817,-16.9,-8.2836,26.4
YMR059W,3.091,4.625,5.9584,3.1872,-0.090697,0.78846,2.2343,3.9797,0.31,-1.8528,-5.3,-5.3,0.48,-6.5,-1.6094,-0.55942,-13.8,-6.5636,35.8
YHR190W,3.8918,4.585,7.1967,5.3625,0.19763,3.325,1.8159,3.8286,0.46,-1.6089,-3.6,-2.2,-5.3,-5.5,-1.6094,-0.38482,-18.3,-8.1767,27
YKR002W,5.323,4.3175,7.4425,4.003,-0.20142,3.091,0.19696,5.1855,0.38,-2.4418,-6.5,-3.5,-4.5,-2.7,-1.6094,-0.63457,-17.8,-7.8818,39
YDR279W,4.2047,3.4657,6.9594,3.5231,-0.34632,1.3863,1.7887,3.989,0.36,-1.9078,-13,4.3,-4.1,-2.9,-1.6094,-0.65918,-13.8,-6.7168,31.9
YDL099W,3.989,4.4659,6.9334,4.0305,0.43677,2.7408,0.56001,5.4403,0.43,-1.3696,-3.5,-6.8,-3.9,-4.9,-1.6094,-0.65918,-15.8,-6.297,37.6
